instructions,time(s)
0,0
1,211
2,256
3,460
4,505
5,733
6,779
7,1002
8,1047
9,1260
10,1305
11,1514
12,1559
13,1775
14,1823
15,2038
16,2086
17,2131
18,2346
19,2391
20,2605
21,2650
22,2850
23,2895
24,3105
25,3154
26,3366
27,3930
28,4464
29,5009
30,5555
31,6488
32,7312
33,8213
34,9503
35,10065
36,10641
37,11168
38,11710
39,13062
40,13232
41,13842
42,14034
43,14547
44,14868
45,15439
46,15830
47,16369
48,16684
49,17296
50,17628
51,18071
52,18487
53,19337
54,19551
55,19960
56,20729
57,20921
58,22672
59,23094
60,23426
61,23508
62,24188
63,24384
64,24429
65,24807
66,25285
67,25677
68,26115
69,26503
70,27002
71,27430
72,27896
73,28373
74,28823
75,29248
76,115955
77,151103
78,151594
79,152092
80,152575
81,153096
82,153589
83,154081
84,154536
85,155043
86,155591
87,156123
