Benchmark,eval,Cycles
OpenSSH,jitsynth-compiler,116
NaCl,jitsynth-compiler,108
QEMU,jitsynth-compiler,120
Chrome,jitsynth-compiler,129
Firefox,jitsynth-compiler,108
vsftpd,jitsynth-compiler,76
Tor,jitsynth-compiler,76
OpenSSH,linux-compiler,59
NaCl,linux-compiler,57
QEMU,linux-compiler,65
Chrome,linux-compiler,64
Firefox,linux-compiler,58
vsftpd,linux-compiler,48
Tor,linux-compiler,48
OpenSSH,linux-interpreter,592
NaCl,linux-interpreter,577
QEMU,linux-interpreter,644
Chrome,linux-interpreter,629
Firefox,linux-interpreter,556
vsftpd,linux-interpreter,410
Tor,linux-interpreter,412
